"","patent_number","citation_count"
"1304","7735165",0
"1305","8066522",0
"1306","7037290",0
"1307","7735168",0
"1308","7488291",0
"1309","8562637",0
"1310","7305267",0
"1311","8939150",0
"1312","8084607",0
"1313","7029444",16
"1314","7480973",0
"1315","8226814",0
"1316","8789222",0
"1317","8435263",0
"1318","8761868",0
"1319","8501890",0
"1320","8188077",0
"1321","8617103",0
"1322","8224450",0
"1323","8696702",0
"1324","8819869",0
"1325","8926628",0
"1326","7816928",0
"1327","7582078",0
"1328","7582079",0
"1329","8709030",0
"1330","8500947",0
"1331","7905999",0
"1332","8747402",0
"1333","D527103",0
"1334","8709038",0
"1335","7933646",0
"1336","8512371",0
"1337","7867221",0
"1338","8612019",0
"1339","8646124",0
"1340","8939737",0
"1341","7261686",0
"1342","7731138",0
"1343","7750004",0
"1344","8440626",0
"1345","8178039",0
"1346","8603154",0
"1347","8535683",0
"1348","8697115",0
"1349","8697113",0
"1350","8875881",0
"1351","8697110",0
"1352","7976504",0
"1353","8697119",0
"1354","8032204",0
"1355","8664756",0
"1356","8364284",0
"1357","8364280",0
"1358","7139613",0
"1359","7139610",0
"1360","7313246",0
"1361","7259186",0
"1362","8632567",0
"1363","8632564",0
"1364","8481282",0
"1365","8632568",0
"1366","7935705",0
"1367","7749149",0
"1368","7232435",0
"1369","7993303",0
"1370","8283363",0
"1371","7887529",0
"1372","7076520",0
"1373","8945215",0
"1374","8190250",0
"1375","7998982",0
"1376","7314924",0
"1377","6921378",0
"1378","7622493",0
"1379","7988668",0
"1380","8055322",0
"1381","8226672",0
"1382","8226677",0
"1383","8551078",0
"1384","8942790",0
"1385","7537493",0
"1386","8942795",0
"1387","8827954",0
"1388","8764740",0
"1389","8827952",0
"1390","8050750",0
"1391","8764745",0
"1392","8764744",0
"1393","8764749",0
"1394","8005551",27
"1395","7517353",0
"1396","7066954",0
"1397","7144902",0
"1398","8647655",0
"1399","8086313",0
"1400","8086312",0
"1401","7996054",0
"1402","8172840",0
"1403","8494246",0
"1404","8771348",0
"1405","7177533",0
"1406","8771345",0
"1407","8771344",0
"1408","D712353",0
"1409","8771346",0
"1410","8771343",0
"1411","8771342",0
"1412","8868198",0
"1413","8808174",0
"1414","8868193",0
"1415","8868197",0
"1416","8868196",0
"1417","D578643",0
"1418","8887373",0
"1419","D578645",0
"1420","8805470",0
"1421","8852079",0
"1422","7618433",0
"1423","7654672",0
"1424","8641610",0
"1425","8540424",0
"1426","7473265",0
"1427","7856269",0
"1428","8224413",0
"1429","7717848",0
"1430","7386351",0
"1431","8584920",0
"1432","8784440",0
"1433","8568355",0
"1434","8591529",0
"1435","7001895",147
"1436","8277438",0
"1437","8115126",0
"1438","7691058",0
"1439","8677996",0
"1440","7877150",0
"1441","8653155",0
"1442","8709062",0
"1443","8982195",0
"1444","8805518",0
"1445","8396524",0
"1446","8663168",0
"1447","8064999",0
"1448","8888814",0
"1449","8805511",0
"1450","8888810",0
"1451","8888811",0
"1452","7846161",0
"1453","8691517",0
"1454","8427321",0
"1455","8277833",0
"1456","7321798",0
"1457","7208297",0
"1458","7329276",0
"1459","7329275",0
"1460","8318793",0
"1461","8414612",0
"1462","8414611",0
"1463","8361015",0
"1464","8129417",0
"1465","6860899",0
"1466","8153695",0
"1467","8372085",0
"1468","8313014",0
"1469","6860893",0
"1470","7862535",0
"1471","7569032",0
"1472","7018384",12
"1473","8460361",0
"1474","8303537",0
"1475","8939905",0
"1476","8377108",0
"1477","7395564",0
"1478","8657819",0
"1479","8657814",0
"1480","8377105",0
"1481","8460365",0
"1482","8702794",0
"1483","6949098",0
"1484","6955674",0
"1485","8702790",0
"1486","7670332",0
"1487","7670330",0
"1488","7670337",0
"1489","6949097",0
"1490","6972543",0
"1491","8961598",0
"1492","6958043",0
